topic,activity,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
4,ps_python_iteration_addition,"WhileStatement,print,IntegerLiteral,Less,ComparisonExpression,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,Addition,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,WhileLoopWith","Int,Add,Lt,While,Call,Assign","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","function call,variable manipulation,arithmetic operations,numerical types,loop iteration,comparison operation"
4,ps_python_iteration_multiplication,"WhileStatement,print,IntegerLiteral,Less,ComparisonExpression,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,StringLiteral","SingleWhileLoopIteration,Multiplication,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,WhileLoopWith,ChangingValueVariable","Int,Lt,While,Call,Str,Assign,Mult","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingStandardFunction,ManagingVariable,Multiplication,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith*=,WhileLoopWithUpdate","function call,variable manipulation,arithmetic operations,numerical types,loop iteration,comparison operation,string operations"
4,ae_adl_while,"WhileStatement,print,IntegerLiteral,Less,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,Multiplication,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,WhileLoopWith,CreatingString,ChangingValueVariable","Mult,Str,Lt,Assign,Int,While,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFunction,ManagingVariable,Multiplication,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith*=,WhileLoopWithUpdate","value update and accumulation,comparison operation,arithmetic operatons,variable manipulation,loop iteration"
4,py_divisor,"NotEqual,WhileStatement,print,IntegerLiteral,AugmentedAssignmentStatement,ComparisonExpression,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","SingleWhileLoopIteration,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,WhileLoopWith","Sub,Int,AugAssign,Add,NotEq,While,Call,Str,Assign,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,ComparisonExpression,ComparisonOperator,ExpressionStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindMinimum,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operations,numerical types,loop iteration,comparison operation"
4,py_input,"WhileStatement,print,IntegerLiteral,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","And,LtE,GtE,Int,Or,NotEq,While,Call,Str,Assign,Mod","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_check_adjacent,"NotEqual,WhileStatement,print,float,input,ComparisonExpression,IfStatement,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,IntegerLiteral,StringLiteral","SingleWhileLoopIteration,TransformingToFloatType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,IfCheckingInWhileLoop,CallingLibraryFunction","And,Gt,Sub,Int,NotEq,While,Call,USub,Str,Eq,Assign,If","AssignmentStatement,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingForItem,CheckingInWhileLoop,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleForLoopIteration,SingleWhileLoopIteration,TransformingToFloatType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,conditional branching structures,numerical types,loop iteration,comparison operation,string operations"
4,py_win_percentage,"or,WhileStatement,print,Less,int,input,Larger,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,Division,CallingLibraryFunction","Gt,Str,Int,Lt,Add,Or,While,FloorDiv,Call,LtE,Div,Assign","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,or,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_find_average,"NotEqual,WhileStatement,print,int,AugmentedAssignmentStatement,input,IfElseStatement,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral","SingleWhileLoopIteration,TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,BooleanEvaluating,ChangingValueVariable,Printing,Division,WhileLoopWith,Addition,CallingLibraryFunction","Float,GtE,NotEq,AugAssign,While,Int,Add,Call,Str,Div,If,Eq,Assign,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operations,conditional branching structures,loop iteration,type conversion,comparison operation"
4,py_digits,"WhileStatement,print,IntegerLiteral,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Larger,Modulus","SingleWhileLoopIteration,FindRemainder,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,Division,ChangingValueVariable","Gt,Int,While,Add,FloorDiv,Call,Str,Assign,Mult,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable","input and output operations,variable manipulation,arithmetic operations,loop iteration,comparison operation"
4,q_py_topic_loops:q_py_while_loop1,"WhileStatement,print,IntegerLiteral,Less,ComparisonExpression,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,BooleanEvaluating,Printing,WhileLoopWith","Add,Assign,Call,Constant,Lt,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","function call,variable manipulation,arithmetic operations,numerical types,loop iteration,comparison operation"
4,q_py_topic_loops:q_py_while_loop2,"WhileStatement,print,IntegerLiteral,Less,ComparisonExpression,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,BooleanEvaluating,Printing,WhileLoopWith","Add,Assign,Call,Constant,Lt,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","function call,variable manipulation,arithmetic operations,numerical types,loop iteration,comparison operation,value update and accumulation"
4,py_largest_divisor,"NotEqual,WhileStatement,print,IntegerLiteral,AugmentedAssignmentStatement,ComparisonExpression,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","SingleWhileLoopIteration,FindRemainder,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,Substraction","Assign,AugAssign,Call,Constant,Mod,NotEq,Sub,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,ComparisonExpression,ComparisonOperator,ExpressionStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindMaximum,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,Substraction,UpdatingVariable","input and output operations,object-oriented programming fundamentals,arithmetic operations,value update and accumulation,numerical types,loop iteration,comparison operation"
4,py_input2,"WhileStatement,print,IntegerLiteral,LessOrEqual,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","And,Assign,Call,Constant,GtE,LtE,While","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,LargerOrEqual,LessOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_adjacent_consecutive,"NotEqual,WhileStatement,print,BinaryOperation,int,input,ComparisonExpression,IfStatement,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral,and,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,IfCheckingInWhileLoop,Substraction,CallingLibraryFunction","And,Assign,Call,Constant,Eq,If,NotEq,Sub,USub,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,LogicalOperator,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingForItem,CheckingInWhileLoop,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,Substraction,TransformingToIntType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,conditional branching structures,numerical types,loop iteration,comparison operation,string operations"
4,py_win_percentage_input,"or,WhileStatement,print,Less,int,LessOrEqual,input,Larger,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,Division,CallingLibraryFunction","Assign,Call,Constant,Div,Gt,Lt,LtE,Or,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IntegerLiteral,IterationStatement,Larger,LargerOrEqual,Less,LessOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,or,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_average_even_nums,"NotEqual,WhileStatement,print,BinaryOperation,int,AugmentedAssignmentStatement,input,IfElseStatement,ComparisonExpression,IfStatement,Modulus,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral","SingleWhileLoopIteration,IfElseChecking,FindRemainder,AssigningValueVariable,HandlingInput,BooleanEvaluating,ChangingValueVariable,Printing,IfCheckingInWhileLoop,Division,WhileLoopWith,TransformingToIntType","Add,Assign,AugAssign,Call,Constant,Div,Eq,If,Mod,NotEq,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,CheckingInWhileLoop,Division,FindRemainder,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingString,IfCheckingInWhileLoop,IfElifElseChecking,IfElseChecking,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operations,conditional branching structures,loop iteration,type conversion,comparison operation"
4,py_sum_digits,"WhileStatement,print,IntegerLiteral,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Larger,StringLiteral,Modulus","SingleWhileLoopIteration,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,Printing,Division,WhileLoopWith,BooleanEvaluating","Add,Assign,Call,Constant,FloorDiv,Gt,Mod,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,Literal,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operations,loop iteration,comparison operation"
4,py_input3,"WhileStatement,print,IntegerLiteral,LessOrEqual,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,CreatingString,BooleanEvaluating,Printing","And,Assign,Call,Constant,GtE,LtE,While","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IntegerLiteral,IterationStatement,LargerOrEqual,LessOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_adjacent_greater,"NotEqual,WhileStatement,print,IntegerLiteral,float,input,Larger,ComparisonExpression,IfStatement,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfCheckingInWhileLoop,ChangingValueVariable,CreatingString,TransformingToFloatType","And,Assign,Call,Constant,Gt,If,NotEq,While","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IterationStatement,Larger,Literal,LogicalExpression,LogicalOperator,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingInWhileLoop,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingList,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,IndexingList,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,conditional branching structures,numerical types,loop iteration,comparison operation,string operations"
4,py_win_percentage_won_equal,"or,WhileStatement,print,IntegerLiteral,Less,int,input,Larger,ComparisonExpression,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,Addition,HandlingInput,AssigningValueVariable,CallingLibraryFunction,CreatingString,BooleanEvaluating,Printing,Division","Add,Assign,Call,Constant,Div,FloorDiv,Gt,Lt,Or,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IntegerLiteral,IterationStatement,Larger,Less,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,or,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operations,loop iteration,type conversion,comparison operation"
4,py_average_float,"WhileStatement,FloatLiteral,print,IntegerLiteral,AugmentedAssignmentStatement,float,input,IfElseStatement,ComparisonExpression,LargerOrEqual,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,UnaryOperation","SingleWhileLoopIteration,TransformingToFloatType,IfElseChecking,Addition,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,Division,WhileLoopWith,CreatingString","Add,Assign,AugAssign,Call,Constant,Div,Eq,GtE,If,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,float,input,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operations,conditional branching structures,numerical types,loop iteration,type conversion,comparison operation,string operations"
4,py_reverse_number,"WhileStatement,print,IntegerLiteral,Larger,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Modulus,StringLiteral","SingleWhileLoopIteration,Multiplication,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,Printing,Division,ChangingValueVariable,CreatingString","Add,Assign,Call,Constant,FloorDiv,Gt,Mod,Mult,While","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Concatenation,Division,FindRemainder,HandlingFunction,HandlingInteger,ManagingVariable,Multiplication,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operations,loop iteration,comparison operation"
