individual_name,bundle_name,type,topic,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
py_input1,py_input,PCEX Example,While Loops,"WhileStatement,print,IntegerLiteral,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","Assign,GtE,While,Constant,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operatons,loop iteration,type conversion,comparison operation"
py_input2,py_input,PCEX Challenge,While Loops,"WhileStatement,print,IntegerLiteral,LessOrEqual,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","Assign,And,GtE,Constant,While,LtE,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,LargerOrEqual,LessOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operatons,loop iteration,type conversion,comparison operation"
py_input3,py_input,PCEX Challenge,While Loops,"WhileStatement,print,IntegerLiteral,LessOrEqual,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,CreatingString,BooleanEvaluating,Printing","Assign,And,GtE,Constant,While,LtE,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IntegerLiteral,IterationStatement,LargerOrEqual,LessOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operatons,loop iteration,type conversion,comparison operation"
py_input4,py_input,PCEX Challenge,While Loops,"NotEqual,or,WhileStatement,print,int,input,ComparisonExpression,LargerOrEqual,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,Modulus,StringLiteral,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Or,Mod,Constant,While,GtE,NotEq,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,LargerOrEqual,Less,Literal,LogicalExpression,LogicalOperator,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,or,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operatons,loop iteration,type conversion,comparison operation"
py_three_boolean2,py_three_booleans,PCEX Challenge,Boolean Expressions,"not,print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,And,Not,Eq,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,and,input,int,not,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_three_boolean3,py_three_booleans,PCEX Challenge,Boolean Expressions,"print,int,BooleanLiteral,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,IntegerLiteral,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,And,Eq,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_boolean_dry_hot2,py_hot_dry,PCEX Challenge,Boolean Expressions,"or,print,int,BooleanLiteral,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,IntegerLiteral,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Or,Eq,Constant,If,Call","AssignmentStatement,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_boolean_dry_hot3,py_hot_dry,PCEX Challenge,Boolean Expressions,"not,print,int,BooleanLiteral,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,IntegerLiteral,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,And,Not,Eq,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,and,input,int,not,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CreatingString,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,Conditional Branching Structures,type conversion"
py_boolean_dry_hot4,py_hot_dry,PCEX Challenge,Boolean Expressions,"not,or,print,int,BooleanLiteral,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,IntegerLiteral,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,BitXor,And,Or,Not,Eq,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,and,input,int,not,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_rent_car1,py_rent_car,PCEX Example,Boolean Expressions,"print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,And,Eq,Constant,GtE,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,LargerOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,and,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_rent_car2,py_rent_car,PCEX Challenge,Boolean Expressions,"not,print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","Assign,And,Not,Eq,Constant,GtE,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,and,input,int,not,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_rent_car3,py_rent_car,PCEX Challenge,Boolean Expressions,"or,print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,LargerOrEqual,FunctionCall,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation,StringLiteral","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,And,Or,Eq,Constant,GtE,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,and,input,int,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,comparison operation"
py_smallest_divisor,py_divisor,PCEX Example,While Loops,"NotEqual,WhileStatement,print,IntegerLiteral,AugmentedAssignmentStatement,ComparisonExpression,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","SingleWhileLoopIteration,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,WhileLoopWith","Assign,Mod,Constant,While,NotEq,AugAssign,Add,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,ComparisonExpression,ComparisonOperator,ExpressionStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindMinimum,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operatons,numerical types,loop iteration,comparison operation"
py_largest_divisor,py_divisor,PCEX Challenge,While Loops,"NotEqual,WhileStatement,print,IntegerLiteral,AugmentedAssignmentStatement,ComparisonExpression,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","SingleWhileLoopIteration,FindRemainder,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,ChangingValueVariable,Printing,Substraction","Assign,Mod,Constant,Sub,While,NotEq,AugAssign,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,ComparisonExpression,ComparisonOperator,ExpressionStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,Modulus,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindMaximum,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,Substraction,UpdatingVariable","input and output operations,object-oriented programming fundamentals,arithmetic operatons,value update and accumulation,numerical types,loop iteration,comparison operation"
py_adjacent_duplicates,py_check_adjacent,PCEX Example,While Loops,"NotEqual,WhileStatement,print,float,input,ComparisonExpression,IfStatement,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,IntegerLiteral,StringLiteral","SingleWhileLoopIteration,TransformingToFloatType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,IfCheckingInWhileLoop,CallingLibraryFunction","USub,Assign,Constant,While,Eq,NotEq,If,Call","AssignmentStatement,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingForItem,CheckingInWhileLoop,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleForLoopIteration,SingleWhileLoopIteration,TransformingToFloatType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,Conditional Branching Structures,numerical types,loop iteration,comparison operation,string operations"
py_adjacent_consecutive,py_check_adjacent,PCEX Challenge,While Loops,"NotEqual,WhileStatement,print,BinaryOperation,int,input,ComparisonExpression,IfStatement,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral,and,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,IfCheckingInWhileLoop,Substraction,CallingLibraryFunction","USub,Assign,And,Constant,While,Sub,Eq,NotEq,If,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,IterationStatement,Literal,LogicalExpression,LogicalOperator,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingForItem,CheckingInWhileLoop,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,Substraction,TransformingToIntType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,Conditional Branching Structures,numerical types,loop iteration,comparison operation,string operations"
py_adjacent_greater,py_check_adjacent,PCEX Challenge,While Loops,"NotEqual,WhileStatement,print,IntegerLiteral,float,input,Larger,ComparisonExpression,IfStatement,FunctionCall,StringLiteral,and,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","SingleWhileLoopIteration,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfCheckingInWhileLoop,ChangingValueVariable,CreatingString,TransformingToFloatType","Gt,Assign,And,Constant,While,NotEq,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IterationStatement,Larger,Literal,LogicalExpression,LogicalOperator,NotEqual,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,and,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CheckingInWhileLoop,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingList,HandlingStandardFunction,HandlingString,IfChecking,IfCheckingInWhileLoop,IndexingList,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToStringType,UpdatingVariable","function call,variable manipulation,Conditional Branching Structures,numerical types,loop iteration,comparison operation,string operations"
py_range1_1,py_range_one,PCEX Example,For Loops,"ForStatement,range,print,IntegerLiteral,FunctionCall,ExpressionStatement","SingleForLoopIteration,Printing,CallingLibraryFunction","For,Call,Constant","BuiltInFunction,Call,ExpressionStatement,ForStatement,FunctionCall,IntegerLiteral,IterationStatement,MembershipOperator,NumericLiteral,Statement,in,print,range","AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,CreatingList,HandlingFunction,HandlingList,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleForLoopIteration,UpdatingVariable","function call,variable manipulation,numerical types,loop iteration,range function usage"
py_range1_2,py_range_one,PCEX Challenge,For Loops,"ForStatement,range,print,IntegerLiteral,FunctionCall,ExpressionStatement","SingleForLoopIteration,Printing,CallingLibraryFunction","For,Call,Constant","BuiltInFunction,Call,ExpressionStatement,ForStatement,FunctionCall,IntegerLiteral,IterationStatement,MembershipOperator,NumericLiteral,Statement,in,print,range","AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,CreatingList,HandlingFunction,HandlingList,HandlingStandardFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleForLoopIteration,UpdatingVariable","function call,variable manipulation,numerical types,loop iteration,range function usage"
py_print_digits_reverse,py_digits,PCEX Example,While Loops,"WhileStatement,print,IntegerLiteral,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Larger,Modulus","SingleWhileLoopIteration,FindRemainder,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,Division,ChangingValueVariable","Gt,Assign,Mod,Constant,While,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable","input and output operations,variable manipulation,arithmetic operatons,loop iteration,comparison operation"
py_sum_digits,py_digits,PCEX Challenge,While Loops,"WhileStatement,print,IntegerLiteral,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Larger,StringLiteral,Modulus","SingleWhileLoopIteration,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,Printing,Division,WhileLoopWith,BooleanEvaluating","Gt,Assign,Mod,Constant,While,Add,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,Literal,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Division,FindRemainder,HandlingFunction,ManagingVariable,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,UpdatingVariable,WhileLoopWith+=,WhileLoopWithUpdate","input and output operations,variable manipulation,arithmetic operatons,loop iteration,comparison operation"
py_reverse_number,py_digits,PCEX Challenge,While Loops,"WhileStatement,print,IntegerLiteral,Larger,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,Modulus,StringLiteral","SingleWhileLoopIteration,Multiplication,FindRemainder,Addition,AssigningValueVariable,CallingLibraryFunction,Printing,Division,ChangingValueVariable,CreatingString","Gt,Assign,Mod,Constant,While,Mult,Add,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Larger,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,WhileStatement,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,Concatenation,Division,FindRemainder,HandlingFunction,HandlingInteger,ManagingVariable,Multiplication,NonNestedIteration,Printing,Python,SingleWhileLoopIteration,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operatons,loop iteration,comparison operation"
py_win_percentage,py_win_percentage,PCEX Example,While Loops,"or,WhileStatement,print,Less,int,input,Larger,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,StringLiteral,BooleanOperation","SingleWhileLoopIteration,TransformingToIntType,AssigningValueVariable,HandlingInput,BooleanEvaluating,Printing,Division,CallingLibraryFunction","Gt,Assign,Or,Constant,While,Lt,Call,Div","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ExpressionStatement,FunctionCall,IntegerLiteral,IterationStatement,Less,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,WhileStatement,input,int,or,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,NonNestedIteration,Printing,Python,ReadingLine,SingleWhileLoopIteration,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,arithmetic operatons,loop iteration,type conversion,comparison operation"
